souche_1;souche_2;souche_3;souche_4;souche_5;stade;station ;ad nichoir;sex;obs;sta.nic;urb_level;urb_level_city;average_urb_level;habitat
PARUS77;PARUS4;;;;adulte;gram;50;2;SC;gram.50;0,532149162;0,792245722;0,254;urb
PARUS74;PARUS72;;;;adulte;gram;49;1;SC;gram.49;0,46701107;0,844715257;0,254;urb
inexploitable;;;;;adulte;gram;49;2;SC;gram.49;0,46701107;0,844715257;0,254;urb
PARUS70;CYCAE02;;;;adulte;gram;39;1;SC;gram.39;-0,888259784;0,054305128;0,254;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;gram;39;2;SC;gram.39;-0,888259784;0,054305128;0,254;urb
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;gram;9;2;SC;gram.9;1,23161878;1,488811641;0,254;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;gram;9;1;SC;gram.9;1,23161878;1,488811641;0,254;urb
inexploitable;;;;;adulte;rou;352;2;VD;rou.352;1,200598424;0;1,221;urb
inexploitable;;;;;adulte;rou;342;2;VD;rou.342;1,183618352;0;1,221;urb
PARUS74;;;;;adulte;mas;34;2;VD;mas.34;-1,939464958;-1,52730851;-2,383;urb
negatif;;;;;adulte;mas;34;1;VD;mas.34;-1,939464958;-1,52730851;-2,383;urb
negatif;;;;;adulte;gram;52;2;AC;gram.52;0,455117607;0,742843808;0,254;urb
negatif;;;;;adulte;gram;52;1;AC;gram.52;0,455117607;0,742843808;0,254;urb
negatif;negatif;negatif;negatif;negatif;adulte;rou;22;2;VD;rou.22;1,239061558;0;1,221;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;gram;10;1;AC;gram.10;0,231592242;0,555819221;0,254;urb
PARUS74;PARUS72;;;;adulte;font;18;1;VD;font.18;-0,776532807;-0,377641031;-0,854;urb
PARUS70;CYCAE02;;;;adulte;rou;324;1;PG;rou.324;0,961688348;0;1,221;urb
PARUS74;;;;;adulte;rou;88;2;PG;rou.88;1,239085708;0;1,221;urb
PARUS74;;;;;adulte;rou;202;2;PG;rou.202;1,239083513;0;1,221;urb
PARUS74;;;;;adulte;rou;332;1;PG;rou.332;1,112128465;0;1,221;urb
PARUS72;;;;;adulte;mas;31;1;VD;mas.31;-1,743068955;-1,231519414;-2,383;urb
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;rou;336;2;CGE;rou.336;1,1612505;0;1,221;urb
PARUS74;PARUS19;;;;adulte;font;18;2;AG;font.18;-0,776532807;-0,377641031;-0,854;urb
PYCGPI03;PARUS77;PARUS4;PARUS18;;adulte;font;18;1;AG;font.18;-0,776532807;-0,377641031;-0,854;urb
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;font;15;2;ACA;font.15;-2,704909921;-2,25348963;-0,854;urb
negatif;negatif;negatif;negatif;negatif;adulte;font;9;1;AC;font.9;0,775380895;1,03446773;-0,854;urb
SYBOR27;SYBOR08;SFC7;PFC2;PARUS74;adulte;font;9;2;AC;font.9;0,775380895;1,03446773;-0,854;urb
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;font;6;1;AC;font.6;1,177354758;1,489392605;-0,854;urb
PARUS74;PARUS72;;;;adulte;font;6;2;AC;font.6;1,177354758;1,489392605;-0,854;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;font;7;1;AC;font.7;1,109851573;1,394867012;-0,854;urb
PARUS16;;;;;adulte;font;16;1;AC;font.16;-1,650960342;-1,120882509;-0,854;urb
PARUS74;;;;;adulte;font;16;2;AC;font.16;-1,650960342;-1,120882509;-0,854;urb
