Row,LocationID,NestboxID,LocationType,PopID,Latitude,Longitude,StartSeason,EndSeason,HabitatType,Warning,Error,PopNestboxID
4401,mos_43_NB,mos_43_NB,NB,mos,43.635224,3.811936,2013,NA,urban,NA,NA,MON mos_43_NB
4402,mos_44_NB,mos_44_NB,NB,mos,43.636481,3.813744,2018,NA,urban,NA,NA,MON mos_44_NB
4403,mos_45_NB,mos_45_NB,NB,mos,43.639812,3.81534,2013,NA,urban,NA,NA,MON mos_45_NB
4404,mos_6_NB,mos_6_NB,NB,mos,NA,NA,2011,NA,urban,NA,NA,MON mos_6_NB
4405,mos_9_NB,mos_9_NB,NB,mos,NA,NA,2011,NA,urban,NA,NA,MON mos_9_NB
5125,rou_0_NB,rou_0_NB,NB,rou,43.664075,3.669504,1994,NA,deciduous,NA,NA,ROU rou_0_NB
5127,rou_1_NB,rou_1_NB,NB,rou,43.658987,3.667927,1994,NA,deciduous,NA,NA,ROU rou_1_NB
5129,rou_10_NB,rou_10_NB,NB,rou,43.662725,3.668061,1991,NA,deciduous,NA,NA,ROU rou_10_NB
5130,rou_100_NB,rou_100_NB,NB,rou,43.670359,3.663955,1991,NA,deciduous,NA,NA,ROU rou_100_NB
5132,rou_101_NB,rou_101_NB,NB,rou,43.670898,3.664368,1991,NA,deciduous,NA,NA,ROU rou_101_NB
5133,rou_102_NB,rou_102_NB,NB,rou,43.6712,3.664705,1991,NA,deciduous,NA,NA,ROU rou_102_NB
5135,rou_103_NB,rou_103_NB,NB,rou,43.67142,3.665043,1991,NA,deciduous,NA,NA,ROU rou_103_NB
5136,rou_106_NB,rou_106_NB,NB,rou,43.670682,3.662901,1993,NA,deciduous,NA,NA,ROU rou_106_NB
5137,rou_107_NB,rou_107_NB,NB,rou,43.67084,3.662706,1994,NA,deciduous,NA,NA,ROU rou_107_NB
5138,rou_108_NB,rou_108_NB,NB,rou,43.670634,3.662412,1993,NA,deciduous,NA,NA,ROU rou_108_NB
